`id`,`district_id`,name_en,latitude,longitude
147,2,Rampathwila,8.4,80.6333
148,2,Rathmalgahawewa,8.5595,80.5476
149,2,Saliyapura,8.3389,80.4333
150,2,Seeppukulama,8.4,80.6333
151,2,Senapura,8.0833,80.4667
152,2,Sivalakulama,8.25237,80.641743
153,2,Siyambalewa,7.95,80.5167
154,2,Sravasthipura,8.2667,80.4333
155,2,Talawa,8.2167,80.35
156,2,Tambuttegama,8.15,80.3
157,2,Tammennawa,8.0333,80.6
158,2,Tantirimale,8.4,80.3
159,2,Telhiriyawa,8.15,80.3333
160,2,Tirappane,8.2167,80.3833
161,2,Tittagonewa,8.7167,80.75
162,2,Udunuwara Colony,8.2417,80.1917
163,2,Upuldeniya,8.4,80.6333
164,2,Uttimaduwa,8.254989,80.55487
165,2,Vellamanal,8.5167,81.1833
166,2,Viharapalugama,8.4,80.3
167,2,Wahalkada,8.5667,80.6222
168,2,Wahamalgollewa,8.479838,80.497451
169,2,Walagambahuwa,8.153134,80.499049
170,2,Walahaviddawewa,8.5595,80.5476
171,2,Welimuwapotana,8.4333,80.8667
172,2,Welioya Project,8.5595,80.5476
173,3,Akkarasiyaya,6.7792,80.9208
174,3,Aluketiyawa,7.317155,81.127134
175,3,Aluttaramma,7.2167,81.0667
176,3,Ambadandegama,6.81591,81.056492
177,3,Ambagasdowa,6.928519,80.892126
178,3,Arawa,7.162769,81.07755
179,3,Arawakumbura,7.084925,81.198802
180,3,Arawatta,7.328715,81.036976
181,3,Atakiriya,7.0667,81.1056
182,3,Badulla,6.995365,81.048438
183,3,Baduluoya,7.151852,81.023867
184,3,Ballaketuwa,6.862905,81.097249
185,3,Bambarapana,7.1167,81.0375
186,3,Bandarawela,6.828867,80.990898
187,3,Beramada,7.055713,80.987238
188,3,Bibilegama,6.887473,81.141268
189,3,Boragas,6.901625,80.840162
190,3,Boralanda,6.828637,80.881603
191,3,Bowela,6.95,80.9333
192,3,Central Camp,7.3589,81.1759
193,3,Damanewela,7.2125,81.0583
194,3,Dambana,7.3583,81.1083
195,3,Dehiattakandiya,7.2125,81.0583
196,3,Demodara,6.899055,81.053273
197,3,Diganatenna,6.8667,80.9667
198,3,Dikkapitiya,6.7381,80.9669
199,3,Dimbulana,7.006897,80.948431
200,3,Divulapelessa,7.2167,81.0667
201,3,Diyatalawa,6.8,80.9667
202,3,Dulgolla,6.819618,81.012115
203,3,Ekiriyankumbura,7.269736,81.226709
204,3,Ella,6.874485,81.050937
205,3,Ettampitiya,6.9342,80.9853
206,3,Galauda,7.037347,80.981759
207,3,Galporuyaya,7.4,81.05
208,3,Gawarawela,6.897394,81.069668
209,3,Girandurukotte,7.4,81.05
210,3,Godunna,7.071959,80.975003
211,3,Gurutalawa,6.8431,80.9228
212,3,Haldummulla,6.77061,80.884385
213,3,Hali Ela,6.95,81.0333
214,3,Hangunnawa,6.948019,80.871427
215,3,Haputale,6.7667,80.9667
216,3,Hebarawa,7.2167,81.0667
217,3,Heeloya,6.8212,80.9407
218,3,Helahalpe,6.8212,80.9407
219,3,Helapupula,6.8556,81.0722
220,3,Hopton,6.9594,81.1552
221,3,Idalgashinna,6.7833,80.9
222,3,Kahataruppa,7.023705,81.105188
223,3,Kalugahakandura,7.123675,81.094178
224,3,Kalupahana,6.770298,80.854521
225,3,Kebillawela,6.816937,80.993072
226,3,Kendagolla,6.990765,81.110073
227,3,Keselpotha,7.32819,81.083285
228,3,Ketawatta,7.103503,81.080813
229,3,Kiriwanagama,6.971183,80.91551
230,3,Koslanda,6.759935,81.027417
231,3,Kuruwitenna,7.2167,81.0667
232,3,Kuttiyagolla,7.0167,81.0833
233,3,Landewela,7.002113,81.000496
234,3,Liyangahawela,6.817452,81.032456
235,3,Lunugala,7.041299,81.199335
236,3,Lunuwatta,6.953933,80.917059
237,3,Madulsima,7.045064,81.133375
238,3,Mahiyanganaya,7.2444,81.1167
239,3,Makulella,6.8212,80.9407
240,3,Malgoda,7.4,81.05
241,3,Mapakadawewa,7.3,81.1167
242,3,Maspanna,7.024427,80.942159
243,3,Maussagolla,6.898433,81.147817
244,3,Mawanagama,7.2125,81.0583
245,3,Medawela Udukinda,6.846,80.9279
246,3,Meegahakiula,7.0833,80.9833
247,3,Metigahatenna,6.9667,81.0833
248,3,Mirahawatta,6.8817,80.9347
249,3,Miriyabedda,6.9167,81.15
250,3,Nawamedagama,7.2125,81.0583
251,3,Nelumgama,7,81.0917
252,3,Nikapotha,6.740622,80.97083
253,3,Nugatalawa,6.9,80.8833
254,3,Ohiya,6.821352,80.841789
255,3,Pahalarathkinda,7.4,81.05
256,3,Pallekiruwa,7.007551,81.227033
257,3,Passara,6.935017,81.151166
258,3,Pattiyagedara,6.8742,80.9507
259,3,Pelagahatenna,6.9594,81.1552
260,3,Perawella,6.943148,80.84264
